track_title,song_link,tempo,energy,danceability,acousticness,valence,loudness,like
Clocks,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns,130.97,0.749,0.577,0.599,0.255,-7.215,0
Boof Pack,https://open.spotify.com/track/1h4nOgOv7cMZtjpyJm083Y,159.978,0.576,0.693,0.0975,0.691,-6.955,0
Die For You,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,133.629,0.525,0.586,0.111,0.508,-7.163,0
I Ain't Worried,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,139.994,0.797,0.704,0.0826,0.825,-5.927,1
Sunflower - Spider-Man: Into the Spider-Verse,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,89.908,0.478,0.76,0.552,0.913,-5.574,1
Better Days (NEIKED x Mae Muller x Polo G),https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,110.054,0.671,0.717,0.0018,0.699,-5.077,1
Save Your Tears (with Ariana Grande) (Remix),https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy,118.091,0.825,0.65,0.0215,0.593,-4.645,1
Bones,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,114.071,0.742,0.773,0.0206,0.571,-3.678,0
pov,https://open.spotify.com/track/1bj8x3ERN9gSc2NfJIpc76,131.762,0.533,0.474,0.36,0.165,-5.648,0
Creep,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,91.844,0.43,0.515,0.0097,0.104,-9.935,0
Everybody Wants To Rule The World,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,112.067,0.795,0.645,0.347,0.535,-12.095,0
Just A Cloud Away,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4,112.555,0.46,0.89,0.432,0.677,-8.155,1
Heartbreak Hotel,https://open.spotify.com/track/6xNwKNYZcvgV3XTIwsgNio,93.543,0.21,0.696,0.84,0.717,-11.922,1
Kill Bill,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,88.98,0.735,0.644,0.0521,0.418,-5.747,1
I KNOW ?,https://open.spotify.com/track/6wsqVwoiVH2kde4k4KKAFU,117.995,0.619,0.927,0.0186,0.817,-4.441,1
I Saw Her Standing There - Remastered 2009,https://open.spotify.com/track/3KiexfmhxHvG5IgAElmTkd,160.109,0.801,0.491,0.27,0.971,-9.835,0
Chemical,https://open.spotify.com/track/4qzEjmuz380jeiBJp31oDY,169.94,0.908,0.49,0.00185,0.346,-4.918,0
STAY (with Justin Bieber),https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,169.928,0.764,0.591,0.0383,0.478,-5.484,1
FE!N (feat. Playboi Carti),https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,148.038,0.882,0.569,0.0316,0.201,-2.777,1
Is There Someone Else?,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh,134.951,0.586,0.702,0.0388,0.608,-7.83,1
Dancing In The Flames,https://open.spotify.com/track/29lXN1aoaL6HE72BOvknyr,116.974,0.734,0.596,0.00111,0.16,-6.061,0
Mona Lisa (Spider-Man: Across the Spider-Verse),https://open.spotify.com/track/37CoOXIsgF3NzbK1zHZetk,111.043,0.646,0.759,0.231,0.445,-7.603,1
The Color Violet,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz,105.02,0.534,0.645,0.157,0.463,-10.8,1
Slow Motion (feat. Wizkid),https://open.spotify.com/track/5cz1jba7M09O8WNPXCYddx,185.577,0.738,0.5,0.41,0.433,-4.477,0
Creepin' (with The Weeknd & 21 Savage),https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,97.914,0.613,0.716,0.391,0.157,-6.018,1
this is what falling in love feels like,https://open.spotify.com/track/2PWTZV5znjLtZC5T1EVJvL,128.934,0.44,0.422,0.617,0.332,-5.53,1
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",https://open.spotify.com/track/5rurggqwwudn9clMdcchxT,140.133,0.537,0.636,0.481,0.199,-7.902,1
Lady Of Namek,https://open.spotify.com/track/6ieWL5CLN9WdC875guWtMe,134.985,0.659,0.676,0.194,0.595,-5.123,1
Make You Feel My Love,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb,65.18,0.172,0.317,0.907,0.0963,-10.636,1
Lost,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723,123.061,0.603,0.913,0.0272,0.497,-4.892,1
Iris,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,155.925,0.715,0.315,0.00125,0.497,-8.072,0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",https://open.spotify.com/track/39MK3d3fonIP8Mz9oHCTBB,145.819,0.5,0.591,0.22,0.201,-6.206,1
Yellow,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,173.372,0.661,0.429,0.00239,0.285,-7.227,0
3 Nights,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX,151.891,0.518,0.815,0.223,0.877,-6.594,1
Easy On Me,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,141.981,0.366,0.604,0.578,0.13,-7.519,1
Heather,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,102.078,0.425,0.357,0.584,0.27,-7.301,0
TORE UP,https://open.spotify.com/track/1jKXjxMWlq4BhH6f9GtZbu,154.994,0.819,0.534,0.0012,0.0806,-4.329,1
"Darling, I (feat. Teezo Touchdown)",https://open.spotify.com/track/0VaeksJaXy5R1nvcTMh3Xk,97.571,0.818,0.373,0.36,0.361,-3.19,1
Never Ending Song,https://open.spotify.com/track/5BI0zQZciyoQfJxsu8CIn9,141.91,0.777,0.575,0.00544,0.575,-6.602,1
Wish You Were Sober,https://open.spotify.com/track/0kn2gu8Pd03DiYHzRvX2Xk,91.071,0.728,0.701,0.0178,0.696,-5.226,1
Romantic Homicide,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,132.052,0.544,0.571,0.453,0.216,-10.613,1
POWER,https://open.spotify.com/track/4XsJiRJQAK8TWcZCn0Dxlh,179.749,0.857,0.607,0.164,0.732,-3.287,1
The Hills,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,113.003,0.564,0.585,0.0671,0.137,-7.063,0
(They Long To Be) Close To You,https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA,89.327,0.244,0.532,0.707,0.238,-14.652,1
BUTTERFLY EFFECT,https://open.spotify.com/track/2cYqizR4lgvp4Qu6IQ3qGN,140.958,0.628,0.763,0.0531,0.193,-5.85,1
Circles,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,120.042,0.763,0.695,0.189,0.551,-3.497,1
I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,92.99,0.819,0.773,0.426,0.585,-5.946,1
See You Again (feat. Kali Uchis),https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,78.558,0.559,0.558,0.371,0.62,-9.222,1
luther (with sza),https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,138.008,0.575,0.707,0.251,0.576,-7.546,1
Die With A Smile,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,157.969,0.592,0.521,0.308,0.535,-7.777,1
LUNCH,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,124.987,0.4,0.893,0.0452,0.945,-7.981,1
THE DINER,https://open.spotify.com/track/1LLUoftvmTjVNBHZoQyveF,125.017,0.386,0.857,0.243,0.661,-9.761,1
Why Can't You,https://open.spotify.com/track/2fwsmT1AbClEwHbujP4ZMr,166.081,0.435,0.559,0.598,0.462,-8.322,1
777,https://open.spotify.com/track/4tR1B9oWDnnFPvIrkqgaV2,179.812,0.604,0.562,0.265,0.167,-9.939,1
Hold It Together,https://open.spotify.com/track/6gJ2H930mAD1zRqmoFiE4W,82.014,0.494,0.802,0.428,0.518,-10.099,1
